Common Content-Type Mappings:
FileType	                             Extension	                             Content-Type
HTML	                               .html, .htm	                            text/html
CSS	                                   .css	                                  text/css
JavaScript	                           .js	                              application/javascript
JSON	                                 .json	                              application/json
XML	                                   .xml	                                 application/xml
JPEG Image	                            .jpg, .jpeg	                       image/jpeg
PNG Image	                               .png	                              image/png
GIF Image	                              .gif	                              image/gif
SVG Image	                              .svg	                              image/svg+xml
ICO Icon	                               .ico	                              image/x-icon
WebP Image	                             .webp	                              image/webp
MP4 Video	                               .mp4	                              video/mp4
WebM Video	                            .webm	                              video/webm
MP3 Audio	                              .mp3	                              audio/mpeg
PDF	                                   .pdf                              	application/pdf
ZIP Archive	                            .zip	                              application/zip
Plain Text	                            .txt	                              text/plain
CSV                                   	.csv	                              text/csv
WOFF Font	                             .woff	                              font/woff
WOFF2 Font	                           .woff2	                              font/woff2
TTF Font	                             .ttf	                              font/ttf
OTF Font	                             .otf	                              font/otf
EOT Font	                            .eot	                              application/vnd.ms-fontobject
